PS C:\Users\Mingde\OneDrive\2023 Sp\INFO 550\Final project\myCode> & 'C:\ProgramData\Anaconda3\python.exe' pacman.py -p PacmanDQN -n 15200 -x 15000 -l mediumClassic
Training model
Episode No. 189 | lose | Q(s,a) =  20.6627      | reward = -438.0       | epsilon = 0.9748
Episode No. 190 | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9747
Episode No. 191 | lose | Q(s,a) =  18.9154      | reward = -494.0       | epsilon = 0.9745
Episode No. 192 | lose | Q(s,a) = -999.0000     | reward = -488.0       | epsilon = 0.9744
Episode No. 193 | lose | Q(s,a) = -999.0000     | reward = -494.0       | epsilon = 0.9743
Episode No. 194 | lose | Q(s,a) =  19.1379      | reward = -458.0       | epsilon = 0.9741
Episode No. 195 | lose | Q(s,a) =  7.9244       | reward = -461.0       | epsilon = 0.9740
Episode No. 196 | lose | Q(s,a) =  19.6978      | reward = -472.0       | epsilon = 0.9739
Episode No. 197 | lose | Q(s,a) =  20.3753      | reward = -385.0       | epsilon = 0.9737
Episode No. 198 | lose | Q(s,a) =  8.7203       | reward = -404.0       | epsilon = 0.9736
Episode No. 199 | lose | Q(s,a) =  8.5905       | reward = -478.0       | epsilon = 0.9735
Episode No. 200 | lose | Q(s,a) =  20.1393      | reward = -479.0       | epsilon = 0.9733
------------------------------------Network Saved--------------------------------------
Episode No. 201 | lose | Q(s,a) =  23.8541      | reward = -489.0       | epsilon = 0.9732
Episode No. 202 | lose | Q(s,a) = -999.0000     | reward = -468.0       | epsilon = 0.9731
Episode No. 203 | lose | Q(s,a) = -999.0000     | reward = -465.0       | epsilon = 0.9729
Episode No. 204 | lose | Q(s,a) =  17.8504      | reward = -469.0       | epsilon = 0.9728
Episode No. 205 | lose | Q(s,a) = -999.0000     | reward = -455.0       | epsilon = 0.9727
Episode No. 206 | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9725
Episode No. 207 | lose | Q(s,a) =  18.3358      | reward = -487.0       | epsilon = 0.9724
